CustomerID,PrimaryCountry,CustomerSegment,Cluster,Recency,Frequency,Monetary,AverageOrderValue,TotalUnits,FirstPurchase,LastPurchase,TenureDays,CustomerStatus
12369,Austria,Minimum,3,414,3,1511.15,503.7166666666667,1234,2010-03-08 08:09:00,2010-10-22 13:13:00,229,Inactive >90 Days
12370,Cyprus,Potential,4,52,7,3956.56,565.2228571428572,2595,2010-02-09 09:41:00,2011-10-19 14:51:00,618,Recently Active
12371,Switzerland,Potential,4,60,4,3347.38,836.845,1418,2010-03-04 18:23:00,2011-10-11 10:43:00,587,Recently Active
12372,Denmark,Minimum,3,72,3,1196.04,398.68,788,2011-02-16 12:46:00,2011-09-29 12:12:00,226,Recently Active
12373,Austria,Minimum,3,312,3,927.6500000000001,309.2166666666667,511,2010-02-04 12:08:00,2011-02-01 13:10:00,363,Inactive >90 Days
12374,Austria,Potential,4,26,3,2669.2200000000003,889.7400000000001,1354,2010-04-30 14:01:00,2011-11-14 15:37:00,564,Recently Active
12375,Finland,Prospective,0,11,2,377.5,188.75,176,2011-09-02 14:23:00,2011-11-29 10:36:00,89,Recently Active
12376,Switzerland,General,1,390,2,383.15,191.575,237,2010-10-18 08:42:00,2010-11-15 12:15:00,29,Inactive >90 Days
12377,Switzerland,Minimum,3,316,4,3266.32,816.58,2101,2010-04-29 15:34:00,2011-01-28 15:45:00,275,Inactive >90 Days
12378,Switzerland,Minimum,3,130,2,5416.32,2708.16,3316,2010-05-26 14:07:00,2011-08-02 10:34:00,434,Inactive >90 Days
12379,Belgium,Minimum,3,82,4,1470.22,367.555,805,2010-06-23 12:49:00,2011-09-19 10:09:00,454,Recently Active
12380,Belgium,Potential,4,22,8,7210.650000000001,901.3312500000001,3314,2010-02-15 12:05:00,2011-11-18 11:27:00,642,Recently Active
12381,Norway,Prospective,0,5,3,1474.81,491.6033333333333,797,2011-08-12 09:57:00,2011-12-05 12:44:00,116,Recently Active
12383,Belgium,Minimum,3,185,5,1628.56,325.712,1518,2010-12-22 14:28:00,2011-06-08 08:02:00,169,Inactive >90 Days
12384,Switzerland,Prospective,0,29,2,425.27000000000004,212.63500000000002,122,2011-08-10 11:23:00,2011-11-11 08:39:00,94,Recently Active
12385,Belgium,Minimum,3,380,1,1668.4,1668.4,594,2010-11-25 15:14:00,2010-11-25 15:14:00,1,Inactive >90 Days
12386,Australia,General,1,338,2,401.9,200.95,354,2010-12-08 09:53:00,2011-01-06 12:37:00,30,Inactive >90 Days
12387,Australia,General,1,416,1,143.94,143.94,134,2010-10-20 16:27:00,2010-10-20 16:27:00,1,Inactive >90 Days
12388,Australia,Potential,4,16,8,3901.11,487.63875,2001,2010-05-06 12:54:00,2011-11-24 12:30:00,568,Recently Active
12389,Australia,Minimum,3,403,3,1433.33,477.77666666666664,614,2010-02-22 10:15:00,2010-11-02 11:52:00,254,Inactive >90 Days
12390,Belgium,Prospective,0,80,1,504.84000000000003,504.84000000000003,350,2011-09-21 09:33:00,2011-09-21 09:33:00,1,Recently Active
12391,Cyprus,Potential,4,22,6,2724.84,454.14000000000004,1204,2010-02-15 10:12:00,2011-11-18 12:07:00,642,Recently Active
12392,Australia,General,1,592,1,234.75000000000003,234.75000000000003,73,2010-04-27 14:04:00,2010-04-27 14:04:00,1,Inactive >90 Days
12393,Australia,Potential,4,73,6,2399.45,399.9083333333333,1311,2010-10-07 13:49:00,2011-09-28 15:41:00,357,Recently Active
12394,Denmark,Prospective,0,64,2,1080.48,540.24,808,2011-05-06 14:01:00,2011-10-07 08:08:00,155,Recently Active
12395,Belgium,Potential,4,20,15,4241.17,282.74466666666666,3175,2010-04-16 10:16:00,2011-11-20 15:21:00,584,Recently Active
12396,RSA,General,1,675,1,931.4300000000001,931.4300000000001,591,2010-02-03 13:22:00,2010-02-03 13:22:00,1,Inactive >90 Days
12397,Belgium,Prospective,0,36,2,2214.9,1107.45,1250,2011-07-27 14:21:00,2011-11-04 09:52:00,101,Recently Active
12398,Switzerland,Prospective,0,46,1,1435.66,1435.66,1389,2011-10-25 10:27:00,2011-10-25 10:27:00,1,Recently Active
12399,Belgium,Minimum,3,120,7,1842.3,263.18571428571425,2190,2010-03-05 08:45:00,2011-08-12 13:15:00,526,Inactive >90 Days
12400,Australia,General,1,415,1,205.25,205.25,91,2010-10-21 13:45:00,2010-10-21 13:45:00,1,Inactive >90 Days
12401,Belgium,General,1,304,1,69.3,69.3,10,2011-02-09 13:50:00,2011-02-09 13:50:00,1,Inactive >90 Days
12402,Belgium,Minimum,3,324,6,1136.9,189.48333333333335,576,2010-02-07 12:41:00,2011-01-20 13:49:00,348,Inactive >90 Days
12403,Denmark,Prospective,0,50,2,947.36,473.68,256,2010-07-06 11:39:00,2011-10-21 10:51:00,473,Recently Active
12405,Finland,Minimum,3,149,1,1390.39,1390.39,849,2011-07-14 08:52:00,2011-07-14 08:52:00,1,Inactive >90 Days
12406,Denmark,Potential,4,23,5,6390.36,1278.072,3416,2010-01-11 14:04:00,2011-11-17 19:22:00,676,Recently Active
12407,Belgium,Potential,4,50,5,1507.12,301.424,1403,2011-03-20 13:21:00,2011-10-21 10:11:00,216,Recently Active
12408,Belgium,Potential,4,33,8,3905.77,488.22125,2200,2010-07-29 13:27:00,2011-11-07 12:27:00,467,Recently Active
12409,Switzerland,Potential,4,79,7,23419.29,3345.612857142857,13143,2010-05-23 15:21:00,2011-09-22 10:38:00,488,Recently Active
12410,Switzerland,Minimum,3,309,3,773.71,257.90333333333336,335,2010-07-25 13:26:00,2011-02-04 10:39:00,195,Inactive >90 Days
12411,Australia,General,1,410,1,346.9,346.9,138,2010-10-26 09:25:00,2010-10-26 09:25:00,1,Inactive >90 Days
12412,Denmark,Potential,4,75,6,2404.93,400.82166666666666,1986,2010-06-18 13:22:00,2011-09-26 10:16:00,466,Recently Active
12413,France,Minimum,3,67,4,871.45,217.8625,313,2010-11-02 13:26:00,2011-10-04 09:00:00,337,Recently Active
12414,Austria,Minimum,3,218,4,532.41,133.1025,489,2010-09-02 12:22:00,2011-05-06 14:51:00,247,Inactive >90 Days
12415,Australia,Main,2,25,24,144033.37,6001.390416666666,91443,2010-06-30 08:30:00,2011-11-15 14:22:00,504,Recently Active
12416,Australia,General,1,657,1,202.56,202.56,132,2010-02-21 10:19:00,2010-02-21 10:19:00,1,Inactive >90 Days
12417,Belgium,Main,2,4,20,5998.41,299.9205,2835,2009-12-06 10:30:00,2011-12-06 14:52:00,731,Recently Active
12418,Switzerland,Minimum,3,113,4,2021.2,505.3,1088,2010-03-19 14:47:00,2011-08-19 11:08:00,519,Inactive >90 Days
12419,Spain,General,1,386,2,391.01,195.505,227,2010-10-22 10:40:00,2010-11-19 10:04:00,29,Inactive >90 Days
12420,Cyprus,Prospective,0,64,1,600.39,600.39,345,2011-10-07 08:55:00,2011-10-07 08:55:00,1,Recently Active
12421,Spain,Potential,4,16,6,874.6,145.76666666666668,644,2010-07-22 13:57:00,2011-11-24 09:07:00,491,Recently Active
12422,Switzerland,Potential,4,96,12,3639.35,303.27916666666664,2579,2009-12-18 12:44:00,2011-09-05 09:48:00,627,Inactive >90 Days
12423,Belgium,Potential,4,1,10,2301.39,230.13899999999998,1772,2010-08-31 09:31:00,2011-12-09 10:10:00,466,Recently Active
12424,Australia,Minimum,3,163,4,3340.0299999999997,835.0074999999999,2025,2010-06-09 15:15:00,2011-06-30 12:06:00,387,Inactive >90 Days
12425,Portugal,Minimum,3,79,2,1741.41,870.705,1147,2010-09-17 14:10:00,2011-09-22 17:31:00,371,Recently Active
12426,Germany,Minimum,3,195,2,1201.21,600.605,576,2010-02-15 08:41:00,2011-05-29 12:26:00,469,Inactive >90 Days
12427,Germany,Prospective,0,22,3,699.8000000000001,233.26666666666668,526,2010-12-03 10:44:00,2011-11-18 08:56:00,351,Recently Active
12428,Finland,Potential,4,26,8,6405.26,800.6575,3509,2011-03-01 09:33:00,2011-11-14 08:22:00,259,Recently Active
12429,Denmark,Potential,4,10,8,5842.41,730.30125,2871,2010-06-11 13:28:00,2011-11-30 17:22:00,538,Recently Active
12430,Norway,Prospective,0,44,1,216.4,216.4,116,2011-10-27 15:09:00,2011-10-27 15:09:00,1,Recently Active
12431,Australia,Main,2,36,25,10102.220000000001,404.08880000000005,4578,2010-01-15 09:04:00,2011-11-04 11:55:00,659,Recently Active
12432,Norway,Potential,4,43,4,4359.32,1089.83,1800,2011-06-20 13:27:00,2011-10-28 11:43:00,131,Recently Active
12433,Norway,Main,2,1,10,16794.14,1679.414,13534,2010-08-20 09:23:00,2011-12-09 10:02:00,477,Recently Active
12434,Australia,Minimum,3,85,3,1103.43,367.81,532,2010-11-23 13:38:00,2011-09-16 12:38:00,298,Recently Active
12435,Denmark,Potential,4,80,6,13925.93,2320.9883333333332,4958,2009-12-02 13:58:00,2011-09-21 09:06:00,659,Recently Active
12436,Norway,General,1,100,1,429.01,429.01,209,2011-09-01 12:09:00,2011-09-01 12:09:00,1,Inactive >90 Days
12437,France,Main,2,2,38,11282.4,296.90526315789475,7922,2009-12-02 16:24:00,2011-12-08 11:35:00,737,Recently Active
12438,Norway,Prospective,0,15,2,2466.85,1233.425,1169,2011-07-22 13:29:00,2011-11-25 13:28:00,127,Recently Active
12439,Cyprus,Minimum,3,683,2,1142.88,571.44,478,2009-12-14 08:40:00,2010-01-26 12:11:00,44,Inactive >90 Days
12440,Austria,Minimum,3,463,2,739.2,369.6,328,2009-12-22 12:03:00,2010-09-03 13:11:00,256,Inactive >90 Days
12441,France,General,1,367,1,155.55,155.55,120,2010-12-08 10:45:00,2010-12-08 10:45:00,1,Inactive >90 Days
12442,Spain,Prospective,0,4,1,144.06,144.06,181,2011-12-06 14:22:00,2011-12-06 14:22:00,1,Recently Active
12443,Norway,General,1,733,1,365.31,365.31,179,2009-12-07 15:42:00,2009-12-07 15:42:00,1,Inactive >90 Days
12444,Norway,Potential,4,22,5,4085.46,817.092,1130,2011-06-21 14:00:00,2011-11-18 13:23:00,151,Recently Active
12445,Spain,Prospective,0,23,2,378.98,189.49,204,2010-10-15 12:28:00,2011-11-17 18:43:00,399,Recently Active
12446,RSA,Prospective,0,58,1,1002.3100000000001,1002.3100000000001,351,2011-10-13 12:50:00,2011-10-13 12:50:00,1,Recently Active
12447,Belgium,General,1,244,1,431.49,431.49,187,2011-04-10 13:25:00,2011-04-10 13:25:00,1,Inactive >90 Days
12448,Spain,Prospective,0,45,1,365.45,365.45,240,2011-10-26 13:46:00,2011-10-26 13:46:00,1,Recently Active
12449,Belgium,Potential,4,23,5,4274.89,854.9780000000001,2247,2010-09-27 09:37:00,2011-11-17 13:46:00,417,Recently Active
12450,Spain,Minimum,3,157,5,688.2,137.64000000000001,442,2010-08-22 13:11:00,2011-07-06 14:41:00,319,Inactive >90 Days
12451,Switzerland,Potential,4,11,8,12629.88,1578.735,9358,2010-06-28 12:58:00,2011-11-29 08:40:00,520,Recently Active
12452,Switzerland,Prospective,0,17,1,348.57,348.57,181,2011-11-23 08:05:00,2011-11-23 08:05:00,1,Recently Active
12453,Austria,General,1,135,1,707.09,707.09,473,2011-07-28 14:08:00,2011-07-28 14:08:00,1,Inactive >90 Days
12454,Spain,Potential,4,57,4,16459.78,4114.945,7702,2010-10-14 17:33:00,2011-10-14 17:13:00,366,Recently Active
12455,Cyprus,Potential,4,74,9,5722.95,635.8833333333333,3295,2009-12-18 12:33:00,2011-09-27 15:31:00,649,Recently Active
12456,Switzerland,Potential,4,45,3,2581.04,860.3466666666667,1618,2011-03-30 09:12:00,2011-10-26 14:41:00,211,Recently Active
12457,Switzerland,Potential,4,67,7,2555.91,365.13,1083,2010-09-30 17:59:00,2011-10-04 13:13:00,370,Recently Active
12458,Switzerland,Minimum,3,72,4,1502.49,375.6225,979,2010-08-09 10:33:00,2011-09-29 15:25:00,417,Recently Active
12459,Spain,General,1,606,1,398.36,398.36,256,2010-04-13 14:53:00,2010-04-13 14:53:00,1,Inactive >90 Days
12460,Belgium,General,1,457,1,296.65,296.65,168,2010-09-09 13:51:00,2010-09-09 13:51:00,1,Inactive >90 Days
12461,Switzerland,General,1,155,1,626.88,626.88,282,2011-07-08 10:23:00,2011-07-08 10:23:00,1,Inactive >90 Days
12462,Spain,Prospective,0,19,2,937.59,468.795,527,2011-02-09 14:44:00,2011-11-21 09:11:00,286,Recently Active
12463,Belgium,Minimum,3,54,4,1200.78,300.195,768,2011-04-12 12:47:00,2011-10-17 13:44:00,189,Recently Active
12464,Belgium,Potential,4,11,8,957.05,119.63125,95,2011-02-03 13:30:00,2011-11-29 13:33:00,300,Recently Active
12465,Belgium,Prospective,0,18,2,682.19,341.095,475,2011-06-23 13:37:00,2011-11-22 16:34:00,153,Recently Active
12467,USA,General,1,424,1,132.8,132.8,129,2010-10-12 15:41:00,2010-10-12 15:41:00,1,Inactive >90 Days
12468,Germany,Minimum,3,188,5,3238.7400000000002,647.748,2177,2010-01-26 10:09:00,2011-06-05 11:36:00,496,Inactive >90 Days
12469,Thailand,Minimum,3,523,2,3070.54,1535.27,2552,2010-06-21 10:30:00,2010-07-05 12:40:00,15,Inactive >90 Days
12470,Unspecified,General,1,690,1,211.95,211.95,95,2010-01-19 11:01:00,2010-01-19 11:01:00,1,Inactive >90 Days
12471,Germany,Main,2,3,71,35099.9,494.3647887323944,16612,2009-12-07 10:41:00,2011-12-07 15:43:00,731,Recently Active
12472,Germany,Main,2,33,19,14971.29,787.9626315789474,10307,2009-12-14 10:49:00,2011-11-07 14:01:00,694,Recently Active
12473,Germany,Minimum,3,54,3,2585.73,861.91,2394,2011-06-01 10:15:00,2011-10-17 11:27:00,139,Recently Active
12474,Germany,Main,2,18,29,11310.75,390.0258620689655,7881,2010-02-11 09:41:00,2011-11-22 14:39:00,650,Recently Active
12475,Germany,Prospective,0,54,2,1065.64,532.82,766,2010-10-26 08:49:00,2011-10-17 10:10:00,357,Recently Active
12476,Germany,Main,2,16,18,12319.91,684.4394444444445,5533,2010-07-26 09:04:00,2011-11-24 12:40:00,487,Recently Active
12477,Germany,Main,2,23,9,20276.37,2252.93,6119,2010-03-26 14:01:00,2011-11-17 09:51:00,602,Recently Active
12478,Greece,Prospective,0,4,1,545.99,545.99,233,2011-12-06 09:56:00,2011-12-06 09:56:00,1,Recently Active
12479,Germany,Prospective,0,12,1,473.2,473.2,382,2011-11-28 13:26:00,2011-11-28 13:26:00,1,Recently Active
12480,Germany,Potential,4,29,7,4834.85,690.6928571428572,2917,2010-07-20 13:21:00,2011-11-11 14:52:00,480,Recently Active
12481,Germany,Main,2,23,14,11033.51,788.1078571428571,7110,2010-04-11 13:10:00,2011-11-17 08:29:00,586,Recently Active
12482,Sweden,Main,2,577,27,21941.72,812.6562962962963,27040,2010-02-24 10:24:00,2010-05-12 16:51:00,78,Inactive >90 Days
12483,Sweden,Main,2,18,19,4069.1800000000003,214.16736842105266,2131,2010-01-31 13:28:00,2011-11-22 17:02:00,661,Recently Active
12484,Spain,Potential,4,36,9,5557.1,617.4555555555556,3237,2010-01-27 16:41:00,2011-11-04 15:18:00,647,Recently Active
12485,Sweden,General,1,530,1,708.1,708.1,414,2010-06-28 15:22:00,2010-06-28 15:22:00,1,Inactive >90 Days
12486,Sweden,General,1,432,1,917.28,917.28,520,2010-10-04 12:14:00,2010-10-04 12:14:00,1,Inactive >90 Days
12487,Sweden,General,1,731,1,285.3,285.3,174,2009-12-09 11:36:00,2009-12-09 11:36:00,1,Inactive >90 Days
12488,France,Prospective,0,10,3,1244.66,414.8866666666667,526,2011-09-25 10:34:00,2011-11-30 08:50:00,67,Recently Active
12489,France,General,1,337,1,298.93,298.93,103,2011-01-07 13:13:00,2011-01-07 13:13:00,1,Inactive >90 Days
12490,France,Main,2,6,20,8764.64,438.23199999999997,5849,2009-12-01 12:52:00,2011-12-04 16:07:00,734,Recently Active
12491,France,Prospective,0,39,1,424.40000000000003,424.40000000000003,258,2011-11-01 12:18:00,2011-11-01 12:18:00,1,Recently Active
12492,Germany,Prospective,0,64,3,607.21,202.40333333333334,438,2010-11-01 14:58:00,2011-10-07 15:15:00,341,Recently Active
12493,France,General,1,166,2,379.74,189.87,204,2011-05-26 14:53:00,2011-06-27 10:17:00,33,Inactive >90 Days
12494,France,Potential,4,16,9,1563.27,173.69666666666666,965,2010-05-12 13:52:00,2011-11-24 09:34:00,562,Recently Active
12495,Sweden,General,1,641,1,277.4,277.4,128,2010-03-09 10:53:00,2010-03-09 10:53:00,1,Inactive >90 Days
12496,Spain,General,1,621,2,45.34,22.67,30,2010-03-29 13:57:00,2010-03-29 14:06:00,1,Inactive >90 Days
12497,Germany,Minimum,3,82,3,5996.5,1998.8333333333333,5671,2010-03-05 09:39:00,2011-09-19 12:29:00,564,Recently Active
12498,Germany,Prospective,0,22,3,349.70000000000005,116.56666666666668,156,2011-10-13 09:30:00,2011-11-18 12:53:00,37,Recently Active
12499,Germany,General,1,561,1,357.72,357.72,300,2010-05-28 15:12:00,2010-05-28 15:12:00,1,Inactive >90 Days
12500,Germany,Main,2,24,18,5559.21,308.845,3355,2010-02-04 15:05:00,2011-11-16 16:20:00,651,Recently Active
12501,Germany,Minimum,3,337,1,2025.39,2025.39,1775,2011-01-07 12:28:00,2011-01-07 12:28:00,1,Inactive >90 Days
12502,Spain,Minimum,3,96,5,2995.87,599.174,794,2011-02-03 10:41:00,2011-09-05 11:52:00,215,Inactive >90 Days
12503,Spain,General,1,585,1,896.0,896.0,560,2010-05-04 13:59:00,2010-05-04 13:59:00,1,Inactive >90 Days
12504,Germany,Prospective,0,19,4,689.05,172.2625,453,2010-04-22 10:24:00,2011-11-21 16:02:00,579,Recently Active
12505,Italy,General,1,409,1,787.2,787.2,318,2010-10-27 09:18:00,2010-10-27 09:18:00,1,Inactive >90 Days
12506,France,General,1,233,1,73.5,73.5,23,2011-04-21 08:54:00,2011-04-21 08:54:00,1,Inactive >90 Days
12507,Spain,Minimum,3,135,4,1508.06,377.015,1244,2010-05-04 09:23:00,2011-07-28 17:09:00,451,Inactive >90 Days
12508,France,Prospective,0,27,2,397.88,198.94,271,2011-11-10 16:27:00,2011-11-13 15:37:00,4,Recently Active
12509,France,General,1,285,1,158.5,158.5,54,2011-02-28 14:45:00,2011-02-28 14:45:00,1,Inactive >90 Days
12510,Spain,Minimum,3,143,7,3039.03,434.1471428571429,2021,2009-12-04 13:47:00,2011-07-20 10:15:00,594,Inactive >90 Days
12511,Greece,Minimum,3,429,1,3084.02,3084.02,1753,2010-10-07 10:39:00,2010-10-07 10:39:00,1,Inactive >90 Days
12512,Israel,Prospective,0,67,2,132.18,66.09,96,2011-10-04 14:53:00,2011-10-04 14:55:00,1,Recently Active
12513,France,General,1,113,1,558.29,558.29,459,2011-08-19 10:51:00,2011-08-19 10:51:00,1,Inactive >90 Days
12514,Italy,Minimum,3,268,2,1597.76,798.88,840,2010-03-08 12:18:00,2011-03-17 16:38:00,375,Inactive >90 Days
12515,Italy,General,1,354,1,278.7,278.7,128,2010-12-21 15:43:00,2010-12-21 15:43:00,1,Inactive >90 Days
12516,Germany,Minimum,3,78,4,2288.62,572.155,1932,2010-04-19 14:14:00,2011-09-23 09:13:00,523,Recently Active
12517,Germany,Potential,4,29,4,2301.6,575.4,1351,2011-06-02 15:13:00,2011-11-11 13:57:00,163,Recently Active
12518,Germany,Potential,4,1,5,1840.89,368.178,1306,2011-08-21 13:18:00,2011-12-09 10:13:00,111,Recently Active
12519,Germany,Prospective,0,64,2,626.54,313.27,382,2010-08-20 08:21:00,2011-10-07 09:26:00,414,Recently Active
12520,Germany,Potential,4,80,5,2346.26,469.25200000000007,1423,2011-03-11 11:35:00,2011-09-21 15:23:00,195,Recently Active
12521,Germany,General,1,143,1,545.68,545.68,306,2011-07-20 10:51:00,2011-07-20 10:51:00,1,Inactive >90 Days
12522,Germany,Prospective,0,40,2,156.72,78.36,192,2011-10-19 14:41:00,2011-10-31 15:30:00,13,Recently Active
12523,France,Main,2,20,23,4010.35,174.36304347826086,2244,2009-12-07 13:46:00,2011-11-20 12:55:00,714,Recently Active
12524,Germany,Main,2,10,17,9794.11,576.1241176470588,7104,2010-02-08 14:41:00,2011-11-30 15:31:00,661,Recently Active
12525,France,Minimum,3,499,3,883.73,294.57666666666665,504,2010-03-02 14:01:00,2010-07-29 16:08:00,150,Inactive >90 Days
12526,Germany,Prospective,0,1,3,1172.66,390.8866666666667,624,2011-09-06 14:19:00,2011-12-09 12:09:00,95,Recently Active
12527,Germany,Minimum,3,82,5,717.51,143.502,525,2010-06-28 15:37:00,2011-09-19 11:55:00,449,Recently Active
12528,Germany,Potential,4,10,6,1645.48,274.24666666666667,740,2011-01-31 09:05:00,2011-11-30 14:40:00,304,Recently Active
12529,France,General,1,529,1,316.48,316.48,192,2010-06-29 13:10:00,2010-06-29 13:10:00,1,Inactive >90 Days
12530,Germany,Potential,4,60,9,3381.26,375.6955555555556,2692,2010-03-07 14:37:00,2011-10-11 12:34:00,584,Recently Active
12531,Germany,Prospective,0,15,2,1771.2,885.6,1110,2010-01-22 14:17:00,2011-11-25 11:12:00,673,Recently Active
12532,France,Prospective,0,31,1,313.83000000000004,313.83000000000004,151,2011-11-09 13:47:00,2011-11-09 13:47:00,1,Recently Active
12533,Germany,Minimum,3,628,2,1223.89,611.945,696,2009-12-01 11:50:00,2010-03-22 10:56:00,112,Inactive >90 Days
12534,Germany,Minimum,3,131,1,981.18,981.18,645,2011-08-01 10:26:00,2011-08-01 10:26:00,1,Inactive >90 Days
12535,France,Prospective,0,92,2,716.35,358.175,219,2011-06-06 12:47:00,2011-09-09 08:48:00,96,Inactive >90 Days
12536,France,Minimum,3,60,1,4279.71,4279.71,2801,2011-10-11 14:52:00,2011-10-11 14:52:00,1,Recently Active
12537,Sweden,General,1,409,1,612.94,612.94,446,2010-10-27 08:36:00,2010-10-27 08:36:00,1,Inactive >90 Days
12538,Spain,Prospective,0,30,2,640.45,320.225,336,2010-11-26 13:02:00,2011-11-10 17:16:00,350,Recently Active
12539,Spain,Potential,4,23,7,11186.75,1598.107142857143,4534,2009-12-23 13:00:00,2011-11-17 13:30:00,695,Recently Active
12540,Spain,Main,2,20,32,19250.49,601.5778125,10911,2009-12-07 16:56:00,2011-11-20 11:31:00,714,Recently Active
12541,Spain,Prospective,0,30,3,841.18,280.3933333333333,675,2011-03-04 09:32:00,2011-11-10 10:40:00,252,Recently Active
12542,Spain,General,1,485,2,481.88,240.94,522,2010-03-09 16:26:00,2010-08-12 19:12:00,157,Inactive >90 Days
12543,Spain,General,1,449,1,840.25,840.25,683,2010-09-17 15:51:00,2010-09-17 15:51:00,1,Inactive >90 Days
12544,Spain,Prospective,0,37,1,316.7,316.7,134,2011-11-03 16:15:00,2011-11-03 16:15:00,1,Recently Active
12545,Spain,Prospective,0,76,2,832.39,416.195,517,2011-03-25 12:04:00,2011-09-25 13:39:00,185,Recently Active
12546,Spain,Prospective,0,47,2,1021.5,510.75,628,2011-09-23 09:44:00,2011-10-24 12:09:00,32,Recently Active
12547,Spain,General,1,198,3,299.58,99.86,306,2010-07-27 13:55:00,2011-05-26 12:38:00,304,Inactive >90 Days
12548,Spain,General,1,167,1,67.19999999999999,67.19999999999999,48,2011-06-26 15:35:00,2011-06-26 15:35:00,1,Inactive >90 Days
12549,USA,Minimum,3,576,5,1570.68,314.136,1365,2010-01-11 12:29:00,2010-05-13 12:05:00,123,Inactive >90 Days
12550,Spain,Prospective,0,80,1,824.83,824.83,564,2011-09-21 14:35:00,2011-09-21 14:35:00,1,Recently Active
12551,Spain,General,1,358,1,168.0,168.0,100,2010-12-17 11:23:00,2010-12-17 11:23:00,1,Inactive >90 Days
12552,Italy,Prospective,0,40,1,317.82,317.82,85,2011-10-31 12:11:00,2011-10-31 12:11:00,1,Recently Active
12553,France,Potential,4,9,12,4104.75,342.0625,2297,2010-10-12 13:35:00,2011-12-01 16:38:00,416,Recently Active
12554,Spain,General,1,449,1,384.5,384.5,237,2010-09-17 12:29:00,2010-09-17 12:29:00,1,Inactive >90 Days
12556,Spain,Prospective,0,51,2,599.56,299.78,355,2011-07-11 13:35:00,2011-10-20 13:06:00,102,Recently Active
12557,Spain,Potential,4,17,8,18096.14,2262.0175,6382,2009-12-17 10:39:00,2011-11-23 16:59:00,707,Recently Active
12558,USA,Prospective,0,8,1,269.96,269.96,196,2011-12-02 10:41:00,2011-12-02 10:41:00,1,Recently Active
12559,Germany,General,1,311,2,525.71,262.855,281,2011-01-24 10:12:00,2011-02-02 09:49:00,10,Inactive >90 Days
