InvoiceNo,StockCode,Description,Category,Quantity,UnitPrice,Revenue,InvoiceDate,CustomerID,Country
489679,22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,Home Decor,12,0.85,10.2,2009-12-02 10:00:00,16163,United Kingdom
489682,22273,FELTCRAFT DOLL MOLLY,Toys & Children,6,2.95,17.700000000000003,2009-12-02 10:08:00,15759,United Kingdom
489683,35095B,RED VICTORIAN FABRIC OVAL BOX,Other Homeware,24,0.42,10.08,2009-12-02 10:09:00,16131,United Kingdom
489683,21534,DAIRY MAID LARGE MILK JUG,Kitchen & Dining,3,4.95,14.850000000000001,2009-12-02 10:09:00,16131,United Kingdom
489702,21086,SET/6 RED SPOTTY PAPER CUPS,Kitchen & Dining,48,0.65,31.200000000000003,2009-12-02 10:52:00,17511,United Kingdom
489723,22049,WRAP CHRISTMAS SCREEN PRINT,Christmas & Seasonal,25,0.42,10.5,2009-12-02 10:58:00,14299,United Kingdom
489723,21231,SWEETHEART CERAMIC TRINKET BOX,Home Decor,72,1.06,76.32000000000001,2009-12-02 10:58:00,14299,United Kingdom
489766,20977,36 PENCILS TUBE WOODLAND,Stationery & Paper,2,1.25,2.5,2009-12-02 11:34:00,17818,United Kingdom
489766,85231G,ORANGE SCENTED SET/9 T-LIGHTS,Lighting & Candles,2,0.85,1.7,2009-12-02 11:34:00,17818,United Kingdom
489786,20975,12 PENCILS SMALL TUBE RED SPOTTY,Stationery & Paper,48,0.65,31.200000000000003,2009-12-02 11:52:00,17019,United Kingdom
489786,20869,GOLD FABRIC MIRROR,Home Decor,1,1.25,1.25,2009-12-02 11:52:00,17019,United Kingdom
489787,21470,FLOWER VINE RAFFIA FOOD COVER,Garden & Outdoor,1,3.75,3.75,2009-12-02 11:53:00,15542,United Kingdom
489787,84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,Kitchen & Dining,1,3.75,3.75,2009-12-02 11:53:00,15542,United Kingdom
489791,21232,STRAWBERRY CERAMIC TRINKET BOX,Other Homeware,1,1.25,1.25,2009-12-02 12:06:00,15542,United Kingdom
489792,79323W,WHITE CHERRY LIGHTS,Lighting & Candles,2,6.75,13.5,2009-12-02 12:06:00,14527,United Kingdom
489792,71053,WHITE METAL LANTERN,Lighting & Candles,2,3.75,7.5,2009-12-02 12:06:00,14527,United Kingdom
489791,84597C,RETRO PINK BALL ASHTRAY,Other Homeware,1,1.25,1.25,2009-12-02 12:06:00,15542,United Kingdom
489796,21007,ETCHED GLASS DROPLET DECORATION,Home Decor,12,1.45,17.4,2009-12-02 12:15:00,15680,United Kingdom
489797,22208,WOOD STAMP SET THANK YOU,Other Homeware,2,1.65,3.3,2009-12-02 12:19:00,15581,United Kingdom
489797,20748,KENSINGTON COFFEE SET,Other Homeware,1,12.75,12.75,2009-12-02 12:19:00,15581,United Kingdom
489801,51008,AFGHAN SLIPPER SOCK PAIR,Other Homeware,10,3.45,34.5,2009-12-02 12:28:00,12948,United Kingdom
489805,22028,PENNY FARTHING BIRTHDAY CARD,Stationery & Paper,12,0.42,5.04,2009-12-02 12:39:00,17377,United Kingdom
489807,84828,JUNGLE POPSICLES ICE LOLLY HOLDERS,Lighting & Candles,1,1.25,1.25,2009-12-02 12:43:00,15581,United Kingdom
489814,22139,RETRO SPOT TEA SET CERAMIC 11 PC,Other Homeware,6,4.95,29.700000000000003,2009-12-02 13:06:00,14669,United Kingdom
489814,21214,SET OF 72 IVORY PAPER DOILIES,Stationery & Paper,2,1.45,2.9,2009-12-02 13:06:00,14669,United Kingdom
489818,85176,SEWING SUSAN 21 NEEDLE SET,Other Homeware,12,0.85,10.2,2009-12-02 13:23:00,16233,United Kingdom
489819,22075,6 RIBBONS ELEGANT CHRISTMAS,Christmas & Seasonal,24,1.65,39.599999999999994,2009-12-02 13:23:00,14739,United Kingdom
489819,85049E,SCANDINAVIAN REDS RIBBONS,Other Homeware,24,1.25,30.0,2009-12-02 13:23:00,14739,United Kingdom
489823,22271,FELTCRAFT DOLL ROSIE,Toys & Children,6,2.95,17.700000000000003,2009-12-02 13:32:00,17606,United Kingdom
489824,21173,LOO ROLL  METAL SIGN,Home Decor,1,1.65,1.65,2009-12-02 13:33:00,16797,United Kingdom
489824,22128,PARTY CONES CANDY ASSORTED,Party & Celebration,6,1.25,7.5,2009-12-02 13:33:00,16797,United Kingdom
489826,47503F,ASS FLORAL PRINT TORCH,Other Homeware,2,1.65,3.3,2009-12-02 13:39:00,17867,United Kingdom
489827,22337,ANGEL DECORATION PAINTED ZINC,Home Decor,24,0.65,15.600000000000001,2009-12-02 13:51:00,17412,United Kingdom
489827,85018D,YULETIDE IMAGES S/6 PAPER BOXES,Stationery & Paper,12,2.55,30.599999999999998,2009-12-02 13:51:00,17412,United Kingdom
489827,22341,LOVE GARLAND PAINTED ZINC,Party & Celebration,12,1.65,19.799999999999997,2009-12-02 13:51:00,17412,United Kingdom
489830,22294,HEART FILIGREE DOVE  SMALL,Home Decor,1,1.25,1.25,2009-12-02 13:57:00,13623,United Kingdom
489840,20747,PICCADILLY TEA SET,Other Homeware,6,14.95,89.69999999999999,2009-12-02 14:22:00,14122,United Kingdom
489856,22338,STAR DECORATION PAINTED ZINC,Home Decor,3,1.3,3.9000000000000004,2009-12-02 14:36:00,,United Kingdom
489856,20977,36 PENCILS TUBE WOODLAND,Stationery & Paper,2,2.57,5.14,2009-12-02 14:36:00,,United Kingdom
489856,21986,PACK OF 12 PINK SPOT TISSUES,Other Homeware,2,0.83,1.66,2009-12-02 14:36:00,,United Kingdom
489856,22135,LADLE LOVE HEART PINK,Home Decor,1,0.87,0.87,2009-12-02 14:36:00,,United Kingdom
489856,20966,SANDWICH BATH SPONGE,Other Homeware,6,2.57,15.419999999999998,2009-12-02 14:36:00,,United Kingdom
489856,21643,ASSORTED TUTTI FRUTTI MIRROR,Home Decor,4,2.57,10.28,2009-12-02 14:36:00,,United Kingdom
489856,84378,SET OF 3 HEART COOKIE CUTTERS,Home Decor,3,2.57,7.709999999999999,2009-12-02 14:36:00,,United Kingdom
489856,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,Kitchen & Dining,4,7.78,31.12,2009-12-02 14:36:00,,United Kingdom
489856,21191,LARGE WHITE HONEYCOMB PAPER BELL,Stationery & Paper,2,4.3,8.6,2009-12-02 14:36:00,,United Kingdom
489856,85159B,"WHITE TEA,COFFEE,SUGAR JARS",Bags & Storage,1,13.0,13.0,2009-12-02 14:36:00,,United Kingdom
489857,21485,RED SPOT HEART HOT WATER BOTTLE,Kitchen & Dining,2,11.26,22.52,2009-12-02 14:43:00,,United Kingdom
489857,21824,PAINTED METAL STAR WITH HOLLY BELLS,Other Homeware,1,3.04,3.04,2009-12-02 14:43:00,,United Kingdom
489857,20658,RED SPOTTY LUGGAGE TAG,Other Homeware,2,2.57,5.14,2009-12-02 14:43:00,,United Kingdom
489857,21162,TOXIC AREA  DOOR HANGER,Other Homeware,1,3.43,3.43,2009-12-02 14:43:00,,United Kingdom
489857,22135,LADLE LOVE HEART PINK,Home Decor,1,0.87,0.87,2009-12-02 14:43:00,,United Kingdom
489857,90027D,GLASS BEAD HOOP EARRINGS AMETHYST,Jewellery & Accessories,1,3.46,3.46,2009-12-02 14:43:00,,United Kingdom
489857,22230,JIGSAW TREE WITH WATERING CAN,Garden & Outdoor,1,1.7,1.7,2009-12-02 14:43:00,,United Kingdom
489863,84029E,RED WOOLLY HOTTIE WHITE HEART.,Home Decor,1,3.75,3.75,2009-12-02 14:55:00,15917,United Kingdom
489865,22111,SCOTTIE DOG HOT WATER BOTTLE,Kitchen & Dining,3,4.95,14.850000000000001,2009-12-02 15:01:00,14080,United Kingdom
489866,21523,FANCY FONT HOME SWEET HOME DOORMAT,Home Decor,4,6.75,27.0,2009-12-02 15:04:00,16200,United Kingdom
489866,85099B,JUMBO BAG RED WHITE SPOTTY,Bags & Storage,4,1.95,7.8,2009-12-02 15:04:00,16200,United Kingdom
489869,21733,RED HANGING HEART T-LIGHT HOLDER,Lighting & Candles,1,2.95,2.95,2009-12-02 15:15:00,16200,United Kingdom
489872,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,Kitchen & Dining,12,3.75,45.0,2009-12-02 15:28:00,15615,United Kingdom
489874,21827,EIGHT PIECE CREEPY CRAWLIE SET,Other Homeware,1,1.25,1.25,2009-12-02 15:38:00,18001,United Kingdom
489875,85112,S/3 TEAR DROP CUT GLASS DECORATION,Home Decor,3,1.25,3.75,2009-12-02 15:41:00,17841,United Kingdom
489879,21615,4 LAVENDER BOTANICAL DINNER CANDLES,Lighting & Candles,1,3.75,3.75,2009-12-02 16:02:00,17660,United Kingdom
489897,85049E,SCANDINAVIAN REDS RIBBONS,Other Homeware,12,1.25,15.0,2009-12-03 09:10:00,15255,United Kingdom
489897,21135,VICTORIAN  METAL POSTCARD SPRING,Stationery & Paper,16,1.69,27.04,2009-12-03 09:10:00,15255,United Kingdom
489900,21009,ETCHED GLASS STAR TREE DECORATION,Home Decor,12,1.25,15.0,2009-12-03 09:44:00,14771,United Kingdom
489905,84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,8,1.69,13.52,2009-12-03 10:03:00,13800,United Kingdom
489912,20914,SET/5 RED SPOTTY LID GLASS BOWLS,Kitchen & Dining,6,2.95,17.700000000000003,2009-12-03 10:26:00,13931,United Kingdom
489912,21929,JUMBO BAG PINK VINTAGE PAISLEY,Bags & Storage,10,1.95,19.5,2009-12-03 10:26:00,13931,United Kingdom
489912,82616B,FRAPPUCINO SCARF KNITTING KIT,Bags & Storage,6,2.95,17.700000000000003,2009-12-03 10:26:00,13931,United Kingdom
489932,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,Bags & Storage,6,2.55,15.299999999999999,2009-12-03 10:49:00,14347,United Kingdom
490003,48187,DOOR MAT NEW ENGLAND,Other Homeware,4,6.75,27.0,2009-12-03 11:51:00,16159,United Kingdom
490008,82486,WOOD S/3 CABINET ANT WHITE FINISH,Other Homeware,6,7.95,47.7,2009-12-03 12:10:00,15768,United Kingdom
490017,84510A,SET OF 4 ENGLISH ROSE COASTERS,Kitchen & Dining,1,1.25,1.25,2009-12-03 12:31:00,14159,United Kingdom
490017,82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",Kitchen & Dining,1,1.25,1.25,2009-12-03 12:31:00,14159,United Kingdom
490019,21535,RETRO SPOT SMALL MILK JUG,Kitchen & Dining,6,2.55,15.299999999999999,2009-12-03 12:34:00,17581,United Kingdom
490024,35954,SMALL FOLKART STAR CHRISTMAS DEC,Christmas & Seasonal,2,0.42,0.84,2009-12-03 12:40:00,14606,United Kingdom
490024,84993B,75 BLACK PETIT FOUR CASES,Other Homeware,5,0.42,2.1,2009-12-03 12:40:00,14606,United Kingdom
490045,72800A,S/4 BLACK DINNER CANDLE SILVER FLOC,Lighting & Candles,1,2.55,2.55,2009-12-03 12:50:00,17287,United Kingdom
490047,84946,ANTIQUE SILVER TEA GLASS ETCHED,Other Homeware,24,1.25,30.0,2009-12-03 13:02:00,17913,United Kingdom
490052,21875,KINGS CHOICE MUG,Kitchen & Dining,12,1.25,15.0,2009-12-03 13:09:00,13895,United Kingdom
490054,21210,SET OF 72 RETRO SPOT PAPER  DOILIES,Stationery & Paper,24,1.45,34.8,2009-12-03 13:22:00,17017,United Kingdom
490056,51012C,"FEATHER DUSTER, COAL BLACK",Other Homeware,1,1.25,1.25,2009-12-03 13:25:00,13208,United Kingdom
490060,79323P,PINK CHERRY LIGHTS,Lighting & Candles,4,6.75,27.0,2009-12-03 13:32:00,13468,United Kingdom
490063,90190A,SILVER/CRYSTAL DROP EARRINGS W LEAF,Jewellery & Accessories,1,2.95,2.95,2009-12-03 13:49:00,17271,United Kingdom
490063,85053,FRENCH ENAMEL CANDLEHOLDER,Lighting & Candles,2,2.1,4.2,2009-12-03 13:49:00,17271,United Kingdom
490063,84497,BUTTONS AND STRIPES NOTEBOOK,Stationery & Paper,1,3.75,3.75,2009-12-03 13:49:00,17271,United Kingdom
490064,22271,FELTCRAFT DOLL ROSIE,Toys & Children,12,2.95,35.400000000000006,2009-12-03 13:51:00,16139,United Kingdom
490067,84596F,SMALL MARSHMALLOWS PINK BOWL,Kitchen & Dining,8,1.25,10.0,2009-12-03 14:02:00,15856,United Kingdom
490072,22297,HEART IVORY TRELLIS SMALL,Home Decor,3,1.25,3.75,2009-12-03 14:28:00,17764,United Kingdom
490073,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Lighting & Candles,32,2.55,81.6,2009-12-03 14:36:00,14905,United Kingdom
490073,21733,RED HANGING HEART T-LIGHT HOLDER,Lighting & Candles,6,2.95,17.700000000000003,2009-12-03 14:36:00,14905,United Kingdom
490074,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,Kitchen & Dining,2,6.04,12.08,2009-12-03 14:39:00,,United Kingdom
490074,85033G,SET/6 GOLD REINDEER T-LIGHT CANDLES,Christmas & Seasonal,4,4.3,17.2,2009-12-03 14:39:00,,United Kingdom
490074,21935,SUKI  SHOULDER BAG,Bags & Storage,4,3.43,13.72,2009-12-03 14:39:00,,United Kingdom
490074,20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,Lighting & Candles,1,2.57,2.57,2009-12-03 14:39:00,,United Kingdom
490074,21063,PARTY INVITES JAZZ HEARTS,Home Decor,3,1.7,5.1,2009-12-03 14:39:00,,United Kingdom
490074,84691,PACK 20 DOLLY PEGS,Toys & Children,3,1.7,5.1,2009-12-03 14:39:00,,United Kingdom
490074,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,Lighting & Candles,1,5.17,5.17,2009-12-03 14:39:00,,United Kingdom
490074,85136A,YELLOW SHARK HELICOPTER,Other Homeware,1,8.65,8.65,2009-12-03 14:39:00,,United Kingdom
490074,22172,METAL SHELF WITH RAIL,Other Homeware,1,17.35,17.35,2009-12-03 14:39:00,,United Kingdom
490074,21559,STRAWBERRY LUNCHBOX WITH CUTLERY,Kitchen & Dining,3,5.17,15.51,2009-12-03 14:39:00,,United Kingdom
490074,85044,RED REINDEER STRING OF 20 LIGHTS,Christmas & Seasonal,2,11.26,22.52,2009-12-03 14:39:00,,United Kingdom
490074,22246,"GARLAND, MAGIC GARDEN 1.8M",Garden & Outdoor,3,4.3,12.899999999999999,2009-12-03 14:39:00,,United Kingdom
490074,21634,ASSORTED MINI MADRAS NOTEBOOK,Stationery & Paper,3,2.57,7.709999999999999,2009-12-03 14:39:00,,United Kingdom
490080,44230,SQUARE MIRROR CURTAIN,Home Decor,4,7.95,31.8,2009-12-03 15:20:00,13531,United Kingdom
490087,35958,FOLKART ZINC STAR CHRISTMAS DEC,Christmas & Seasonal,12,0.85,10.2,2009-12-03 15:49:00,15601,United Kingdom
490093,84987,SET OF 36 TEATIME PAPER DOILIES,Stationery & Paper,12,1.45,17.4,2009-12-03 15:56:00,12949,United Kingdom
490093,84510B,SET OF 4 FAIRY CAKES COASTERS,Kitchen & Dining,10,1.25,12.5,2009-12-03 15:56:00,12949,United Kingdom
490093,22059,CERAMIC STRWBERRY DESIGN MUG,Kitchen & Dining,36,1.49,53.64,2009-12-03 15:56:00,12949,United Kingdom
490097,84902,PINK KNITTED COW STUFFED TOY,Toys & Children,1,3.75,3.75,2009-12-03 16:09:00,17329,United Kingdom
490100,20979,36 PENCILS TUBE RED SPOTTY,Stationery & Paper,16,1.25,20.0,2009-12-03 16:21:00,13001,United Kingdom
490101,20990,SPRING FLOWER CHOPSTICKS SET/5,Garden & Outdoor,20,1.95,39.0,2009-12-03 16:24:00,14644,United Kingdom
490106,84750A,PINK SMALL GLASS CAKE STAND,Kitchen & Dining,8,1.95,15.6,2009-12-03 16:40:00,14898,United Kingdom
490106,22121,NOEL WOODEN BLOCK LETTERS,Other Homeware,3,5.95,17.85,2009-12-03 16:40:00,14898,United Kingdom
490109,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,Other Homeware,12,1.25,15.0,2009-12-03 16:51:00,14755,United Kingdom
490109,22309,TEA COSY RED  STRIPE,Other Homeware,6,2.55,15.299999999999999,2009-12-03 16:51:00,14755,United Kingdom
490111,21741,COSY SLIPPER SHOES LARGE GREEN,Other Homeware,2,2.95,5.9,2009-12-03 16:54:00,17576,United Kingdom
490111,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Lighting & Candles,3,2.95,8.850000000000001,2009-12-03 16:54:00,17576,United Kingdom
490112,21484,CHICK GREY HOT WATER BOTTLE,Kitchen & Dining,4,3.45,13.8,2009-12-03 17:04:00,13037,United Kingdom
490118,84507B,STRIPES DESIGN MONKEY DOLL,Home Decor,1,2.55,2.55,2009-12-03 17:46:00,17851,United Kingdom
490124,35095B,RED VICTORIAN FABRIC OVAL BOX,Other Homeware,1,0.42,0.42,2009-12-03 18:08:00,16791,United Kingdom
490127,85232A,SET/3 POLKA DOT STACKING TINS,Bags & Storage,3,4.95,14.850000000000001,2009-12-03 18:13:00,14156,EIRE
490128,84270,ASSTD DESIGN BUBBLE GUM RING,Home Decor,30,0.21,6.3,2009-12-03 18:23:00,15884,United Kingdom
490137,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,Kitchen & Dining,2,2.95,5.9,2009-12-03 19:22:00,14713,United Kingdom
490137,21826,EIGHT PIECE DINOSAUR SET,Other Homeware,12,1.25,15.0,2009-12-03 19:22:00,14713,United Kingdom
490140,21891,TRADITIONAL WOODEN SKIPPING ROPE,Other Homeware,6,1.25,7.5,2009-12-03 20:03:00,12872,United Kingdom
490141,47503G,ASS FLORAL PRINT TAPE MEASURE,Other Homeware,12,1.25,15.0,2009-12-04 08:24:00,15755,United Kingdom
490142,79320,FLAMINGO LIGHTS,Lighting & Candles,24,4.25,102.0,2009-12-04 08:36:00,14258,United Kingdom
490143,21992,VINTAGE PAISLEY STATIONERY SET,Other Homeware,6,2.95,17.700000000000003,2009-12-04 08:40:00,14286,United Kingdom
490143,21507,"ELEPHANT, BIRTHDAY CARD,",Stationery & Paper,24,0.42,10.08,2009-12-04 08:40:00,14286,United Kingdom
490145,21639,ASSORTED TUTTI FRUTTI KEYRING,Jewellery & Accessories,24,0.85,20.4,2009-12-04 09:27:00,14564,Channel Islands
490149,21542,WOODLAND WATER TRANSFER TATTOOS,Other Homeware,1,1.7,1.7,2009-12-04 09:43:00,,United Kingdom
490149,21429,RED GINGHAM ROSE JEWELLERY BOX,Jewellery & Accessories,1,3.43,3.43,2009-12-04 09:43:00,,United Kingdom
490149,21828,EIGHT PIECE SNAKE  SET,Other Homeware,1,2.57,2.57,2009-12-04 09:43:00,,United Kingdom
490149,84375,SET OF 20 KIDS COOKIE CUTTERS,Toys & Children,4,4.3,17.2,2009-12-04 09:43:00,,United Kingdom
490149,84899F,YELLOW PURPLE DAISY FELT PURSE KIT,Jewellery & Accessories,2,2.57,5.14,2009-12-04 09:43:00,,United Kingdom
490149,22109,FULL ENGLISH BREAKFAST PLATE,Kitchen & Dining,9,7.78,70.02,2009-12-04 09:43:00,,United Kingdom
